,X,First.Author..last.,First.Author..first.,et.al.,Modern.Latitude,Modern.Longitude,Modern.Location,Paleo.Latitude,Paleo.Longitude,Approximate.Age,Climate,Deposition.Setting,Numerical.Age,Period,Epoch,Age,Formation,Host.Litho,Year,DOI,Title,Citation..MLA.9.,Note
89,89,Moussavian,Esmail,-,47.640638,12.355522,"Kossen, Austria",32.7984,18.9193,57.6,Boreotropical,Coastal,59.2-56,Paleogene,Paleocene,Thanecian,Angerberg Beds,Northern Alps,1984,10.1007/BF02536688,"Die Gosau- und Alttertiär-Gerölle der Angerberg-Schichten (Höheres Oligozän, Unterinntal, Nördliche Kalkalpen)","Moussavian, Esmail. “Die Gosau- Und Alttertiär-Gerölle Der Angerberg-Schichten (Höheres Oligozän, Unterinntal, Nördliche Kalkalpen).” Facies, vol. 10, no. 1, 1984, pp. 1–85, https://doi.org/10.1007/BF02536688.",
90,87,Moussavian,Esmail,-,47.640862,12.349201,"Kossen, Austria",32.7993,18.9143,57.6,Boreotropical,Coastal,59.2-56,Paleogene,Paleocene,Thanecian,Angerberg Beds,Northern Alps,1984,10.1007/BF02536688,"Die Gosau- und Alttertiär-Gerölle der Angerberg-Schichten (Höheres Oligozän, Unterinntal, Nördliche Kalkalpen)","Moussavian, Esmail. “Die Gosau- Und Alttertiär-Gerölle Der Angerberg-Schichten (Höheres Oligozän, Unterinntal, Nördliche Kalkalpen).” Facies, vol. 10, no. 1, 1984, pp. 1–85, https://doi.org/10.1007/BF02536688.",
3,4,Aissaoui,Djafar M,-,35.296756,4.721604,"chott el Hodna, Algeria",17.5501,20.0315,158.155,Tropical,Coastal,,Jurassic,Late,-,B,Djebel Meharga,1989,10.1016/0899-5362(89)90025-0,"Paléogéographie du Jurassique supérieur au sud du choot El Hodna, Algérie","Aissaoui, Djafar M. “Paléogéographie du Jurassique supérieur au sud du choot El Hodna, Algérie.” Journal of African Earth Sciences, vol. 9, no. 3/4, 1989, pp. 413–20. Zotero, https://doi.org/10.1016/0899-5362(89).",
69,69,Kirmaci,M. Ziya,"Koch, Roman; Bucur, Joan I",40.352978,39.560423,"Kale, Turkey",33.905,60.8505,117.3,Arid,Coastal,,Cretaceous,Early,Aptian,Berdiga Limestone,Kale Area,1996,10.1007/bf02546154,"An early cretaceous section in the Kircaova area (Berdiga limestone, NE-Turkey) and its correlation with platform carbonates in W-Slovenia","Kirmaci, M. Z., et al. “An Early Cretaceous Section in the Kircaova Area (Berdiga Limestone, NE-Turkey) and Its Correlation with Platform Carbonates in W-Slovenia.” Facies, no. 34, 1996, pp. 1–18. Scopus, Scopus, https://doi.org/10.1007/bf02546154.",
104,104,Platt,Nigel H,-,42.02431,-3.028495,"Burgos, Spain",27.9044,21.2384,140.4,Arid,Coastal-Continental,,Cretaceous,Early,Berriasian,Berriasian Rupelo Formation,W Cameros Basin,1989,10.1111/j.1365-3091.1989.tb02092.x,"Lacustrine carbonates and pedogenesis: sedimentology and origin of palustrine deposits from the Early Cretaceous Rupelo Formation, W Cameros Basin, N Spain","Platt, Nigel H. “Lacustrine Carbonates and Pedogenesis: Sedimentology and Origin of Palustrine Deposits from the Early Cretaceous Rupelo Formation, W Cameros Basin, N Spain.” Sedimentology, vol. 36, no. 4, 1989, pp. 665–84. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.1989.tb02092.x.",
121,121,Searl,Alison,-,51.832427,-3.257442,"Cwar yr Hendre, South Wales, UK",-7.3856,0.3959,341.05,Tropical,Coastal,358.9-323.2,Carboniferous,Early,-,Blaen Onneu,Oolite Group,1988,10.1016/0037-0738(88)90025-5,"The limitations of ""cement stratigraphy"" as revealed in some Lower Carboniferous oolites from South Wales","Searl, Alison. “The Limitations of ‘Cement Stratigraphy’ as Revealed in Some Lower Carboniferous Oolites from South Wales.” Sedimentary Geology, vol. 57, no. 3–4, June 1988, pp. 171–83. DOI.org (Crossref), https://doi.org/10.1016/0037-0738(88)90025-5.",
123,124,Semeniuk,V,-,-33.475647,148.795852,"Molong, NSW, Australia",19.4078,123.1494,453,Arid,Coastal,456-450 ,Ordovician,Late,Sandbian-Katian,Bourimbla Limestone,Bowan Park Group,1973,10.1080/00167617308728828,Nearshore to offshore facies and depositional history of the Ordovician Daylesford Limestone New South Wales,"Semeniuk, V. “Nearshore to Offshore Facies and Depositional History of the Ordovician Daylesford Limestone New South Wales.” Journal of the Geological Society of Australia, vol. 20, no. 4, 1973, pp. 449–63. DOI.org (Crossref), https://doi.org/10.1080/00167617308728828.",
126,128,Semeniuk,V,-,-33.46591,148.816451,"Molong, NSW, Australia",19.4275,123.1506,453,Arid,Coastal,456-450 ,Ordovician,Late,Sandbian-Katian,Bourimbla Limestone,Bowan Park Group,1973,10.1080/00167617308728828,Nearshore to offshore facies and depositional history of the Ordovician Daylesford Limestone New South Wales,"Semeniuk, V. “Nearshore to Offshore Facies and Depositional History of the Ordovician Daylesford Limestone New South Wales.” Journal of the Geological Society of Australia, vol. 20, no. 4, 1973, pp. 449–63. DOI.org (Crossref), https://doi.org/10.1080/00167617308728828.",
127,127,Semeniuk,V,-,-33.448724,148.865889,"Molong, NSW, Australia",19.4715,123.1591,453,Arid,Coastal,456-450 ,Ordovician,Late,Sandbian-Katian,Bourimbla Limestone,Bowan Park Group,1973,10.1080/00167617308728828,Nearshore to offshore facies and depositional history of the Ordovician Daylesford Limestone New South Wales,"Semeniuk, V. “Nearshore to Offshore Facies and Depositional History of the Ordovician Daylesford Limestone New South Wales.” Journal of the Geological Society of Australia, vol. 20, no. 4, 1973, pp. 449–63. DOI.org (Crossref), https://doi.org/10.1080/00167617308728828.",
128,130,Semeniuk,V,"Percival, I.G.; Brocx, M.",-33.448724,148.865889,"Cudal, NSW, Australia",19.4715,123.1591,453,Arid,Coastal,456-450 ,Ordovician,Late,Sandbian-Katian,Bourimbla Limestone,Bowan Park Subgroup,2019,10.1080/08120099.2019.1577297,"Subaerial disconformities, microkarst and paleosols in Ordovician limestones at Bowan Park and Cliefden Caves, New South Wales, and their geoheritage significance","Semeniuk, V., et al. “Subaerial Disconformities, Microkarst and Paleosols in Ordovician Limestones at Bowan Park and Cliefden Caves, New South Wales, and Their Geoheritage Significance.” Australian Journal of Earth Sciences, vol. 66, no. 6, Aug. 2019, pp. 891–906. DOI.org (Crossref), https://doi.org/10.1080/08120099.2019.1577297.",
129,126,Semeniuk,V,-,-33.391986,148.95996,"Molong, NSW, Australia",19.5682,123.154,453,Arid,Coastal,456-450 ,Ordovician,Late,Sandbian-Katian,Bourimbla Limestone,Bowan Park Group,1973,10.1080/00167617308728828,Nearshore to offshore facies and depositional history of the Ordovician Daylesford Limestone New South Wales,"Semeniuk, V. “Nearshore to Offshore Facies and Depositional History of the Ordovician Daylesford Limestone New South Wales.” Journal of the Geological Society of Australia, vol. 20, no. 4, 1973, pp. 449–63. DOI.org (Crossref), https://doi.org/10.1080/00167617308728828.",
14,14,Assereto,Riccardo,"Kendall, Christopher",45.915444,10.100367,"Presolana, Italy",14.3138,27.6678,234.38,Arid,Coastal,,Triassic,Middle-Late,Ladinian-Carnian,Breno Formation,Southern Alps,1977,10.1111/j.1365-3091.1977.tb00254.x,"Nature, origin and classification of peritidal tepee structures and related breccias","Assereto, Riccardo L. A. M., and Christopher G. St C. Kendall. “Nature, Origin and Classification of Peritidal Tepee Structures and Related Breccias.” Sedimentology, vol. 24, no. 2, 1977, pp. 153–210. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.1977.tb00254.x.",
52,52,Faure,J.L.,"Megard-Galli, J.",44.901694,6.644533,"Briançon, France",33.9536,28.4816,183.325,Boreotropical,Coastal,,Jurassic,Early-Middle,Hettangian-Bathonian,Brianconnais Region,Western Alps,1988,10.2113/gssgfbull.IV.4.681,L'emersion jurassique en Brianconnais: sedimentation continentale et fracturation distensive,"Faure, J. L., and J. Megard-Galli. “L’emersion Jurassique En Brianconnais: Sedimentation Continentale et Fracturation Distensive.” Bulletin-Societe Geologique de France, vol. 4, no. 4, 1988, pp. 681–92. Scopus, Scopus, https://doi.org/10.2113/gssgfbull.IV.4.681.",
4,3,Aissaoui,Djafar M,"Purser, Bruce H",47,4.499997,"Burgundy, France",33.7698,28.9565,172.8,Boreotropical,Continental,,Jurassic,Middle,-,C,Paris Basin,1983,10.1111/j.1365-3091.1983.tb00670.x,Nature and origins of internal sediments in Jurassic limestones of Burgundy (France) and Fnoud (Algeria),"Aissaoui, Djafar M., and Bruce H. Purser. “Nature and Origins of Internal Sediments in Jurassic Limestones of Burgundy (Franc) and Fnoud (Algeria).” Sedimentology, vol. 30, no. 2, 1983, pp. 273–83. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.1983.tb00670.x.",
133,134,Spalluto,Luigi,-,41.126861,16.83208,"Bari, Italy",24.0248,29.3866,103.55,Arid,Coastal,,Cretaceous,Middle,Albian-Cenomanian,Calcare di bari fm,Apulia Carbonate Platform,2012,10.1007/s10347-011-0266-0,"Facies evolution and sequence chronostratigraphy of a “mid”-Cretaceous shallow-water carbonate succession of the Apulia Carbonate Platform from the northern Murge area (Apulia, southern Italy)","Spalluto, Luigi. “Facies Evolution and Sequence Chronostratigraphy of a ‘Mid’-Cretaceous Shallow-Water Carbonate Succession of the Apulia Carbonate Platform from the Northern Murge Area (Apulia, Southern Italy).” Facies, vol. 58, no. 1, 2012, pp. 17–36. Springer Link, https://doi.org/10.1007/s10347-011-0266-0.",
134,135,Spalluto,Luigi,"Petruzzelli, Marco; Sabato, Luisa; Tropeano, Marcello",41.189131,16.660431,"Giovinazzo, Italy",24.1324,29.2827,103.55,Arid,Coastal,,Cretaceous,Middle,Albian-Cenomanian,Calcare di bari fm,Apulia Carbonate Platform,2025,10.1002/dep2.305,"Cretaceous cyclic peritidal carbonates of the Apulia Carbonate Platform (Apulia, southern Italy) in a hierarchical sequence-stratigraphic perspective: A case study from the Murge area (the Giovinazzo sea-cliff section)","Spalluto, Luigi, et al. “Cretaceous Cyclic Peritidal Carbonates of the Apulia Carbonate Platform (Apulia, Southern Italy) in a Hierarchical Sequence-Stratigraphic Perspective: A Case Study from the Murge Area (the Giovinazzo Sea-Cliff Section).” The Depositional Record, vol. 11, no. 1, 2025, pp. 328–53. Wiley Online Library, https://doi.org/10.1002/dep2.305.",
13,13,Assereto,Riccardo,"Kendall, Christopher",45.897168,9.65765,"Val Brembana, Italy",14.4794,27.3989,234.38,Arid,Coastal,,Triassic,Middle-Late,Ladinian-Carnian,Calcare Rosso,Southern Alps,1977,10.1111/j.1365-3091.1977.tb00254.x,"Nature, origin and classification of peritidal tepee structures and related breccias","Assereto, Riccardo L. A. M., and Christopher G. St C. Kendall. “Nature, Origin and Classification of Peritidal Tepee Structures and Related Breccias.” Sedimentology, vol. 24, no. 2, 1977, pp. 153–210. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.1977.tb00254.x.",
12,12,Assereto,Riccardo,"Folk, Robert L.",45.888883,9.731355,"Lombarfdia, Italy",14.4425,27.4368,234.38,Arid,Coastal,,Triassic,Middle-Late,Ladinian-Carnian,Calcare Rosso limestone,Southern Alps,1980,10.1306/212F7A0E-2B24-11D7-8648000102C1865D,"Diagenetic Fabrics of Aragonite, Calcite, and Dolomite in an Ancient Peritidal-Spelean Environment: Triassic Calcare Rosso, Lombardia, Italy","Assereto, Riccardo, and Robert L. Folk. “Diagenetic Fabrics of Aragonite, Calcite, and Dolomite in an Ancient Peritidal-Spelean Environment: Triassic Calcare Rosso, Lombardia, Italy.” SEPM Journal of Sedimentary Research, vol. Vol. 50, 1980. DOI.org (Crossref), https://doi.org/10.1306/212F7A0E-2B24-11D7-8648000102C1865D.",
18,18,Bhatt,Nilesh,"Patel, M.P.",22.200159,68.996684,"Saurashtra, India",21.5704,68.7157,1.30085,Arid,Coastal,,Quaternary,Pleistocene,-,Carbonate Deposits,Saurashtra Peninsula,1996,10.17491/jgsi/1996/480406,Petrographic Criteria for Freshwater Diagenesis of Saurashtra Miliolites,"Bhatt, Nilesh, and M. P. Patel. “Petrographic Criteria for Freshwater Diagenesis of Saurashtra Miliolites.” Journal of the Geological Society of India, vol. 48, Oct. 1996, pp. 415–19. ResearchGate, https://doi.org/10.17491/jgsi/1996/480406.",
103,103,Peybernes,Camille,"Peyrotty, Giovan; Chablais, Jerome; Onoue, Tetsuji; Yamashita, Daisuke; Martini, Rossana",33.583033,133.7222,"Mt. Sambosan, Japan",49.4877,177.5322,214.33,Tropical,Coastal,,Triassic,Late,Norian-Rhaetian,Clasts in the quarry,Mount Sambosan,2020,10.1016/j.gloplacha.2020.103250,"Birth and death of seamounts in the Panthalassa Ocean: Late Triassic to Early Jurassic sedimentary record at Mount Sambosan, Shikoku, Southwest Japan","Peybernes, Camille, et al. “Birth and Death of Seamounts in the Panthalassa Ocean: Late Triassic to Early Jurassic Sedimentary Record at Mount Sambosan, Shikoku, Southwest Japan.” Global and Planetary Change, vol. 192, Sept. 2020, p. 103250. ScienceDirect, https://doi.org/10.1016/j.gloplacha.2020.103250.",
100,101,Peybernes,Camille,"Peyrotty, Giovan; Chablais, Jerome; Onoue, Tetsuji; Yamashita, Daisuke; Martini, Rossana",33.5742,133.712217,"Mt. Sambosan, Japan",49.4858,177.5138,214.33,Tropical,Coastal,,Triassic,Late,Norian-Rhaetian,Clasts under the castle,Mount Sambosan,2020,10.1016/j.gloplacha.2020.103250,"Birth and death of seamounts in the Panthalassa Ocean: Late Triassic to Early Jurassic sedimentary record at Mount Sambosan, Shikoku, Southwest Japan","Peybernes, Camille, et al. “Birth and Death of Seamounts in the Panthalassa Ocean: Late Triassic to Early Jurassic Sedimentary Record at Mount Sambosan, Shikoku, Southwest Japan.” Global and Planetary Change, vol. 192, Sept. 2020, p. 103250. ScienceDirect, https://doi.org/10.1016/j.gloplacha.2020.103250.",
85,85,Morris,B,"Mazzullo, Salvatore J.",36.524984,-94.667115,"Cherokee Nation, USA",-21.63,-59.3918,353.015,Arid,Continental,,Carboniferous,Early,Tournaisian,Compton Fmt,-,2011,-,"Sedimentology and Diagenesis of Mississippian (Kinderhookian and Osagean: Tournaisian and Visean) Reefs in Southwest Missouri, Northwest Arkansas, and Northeast Oklahoma","Morris, Beau T., and Salvatore J. Mazzullo. “Sedimentology and Diagenesis of Mississippian (Kinderhookian and Osagean: Tournaisian and Visean) Reefs in Southwest Missouri, Northwest Arkansas, and Northeast Oklahoma.” 7th Annual GRASP Symposium, vol. 7, 2011.",
42,42,Cossey,Patrick J.,"Mundy, David J.C.",54.049763,-1.974656,"Stebden Hill, England",2.5568,12.2695,327.05,Tropical,Coastal,330.9-323.2,Carboniferous,Middle,-,Craven Reef Belt,Craven Basin,1990,10.1111/j.1502-3931.1990.tb01457.x,Tetrataxis: a loosely attached limpet‐like foraminifer from the Upper Palaeozoic,"Cossey, Patrick J., and David J. C. Mundy. “Tetrataxis: A Loosely Attached Limpet‐like Foraminifer from the Upper Palaeozoic.” Lethaia, vol. 23, no. 3, 1990, pp. 311–22, https://doi.org/10.1111/j.1502-3931.1990.tb01457.x.",
15,15,Aubrecht,Roman,"Szulc, Joachim; Michalik, Jozef; Schlogl, Jan; Wagreich, Michael",49.017663,18.156842,"Slavnicke Podhorie, Slovakia",38.3816,39.6605,164.85,Tropical,Coastal,,Jurassic,Middle,Bathonian-Callovian,Czorsztyn Unit,Pieniny Klippen Belt,2002,10.1007/bf02667709,Middle Jurassic Stromatactis Mud-mound in the Pieniny Klippen Belt (Western Carpathians),"Aubrecht, Roman, et al. “Middle Jurassic Stromatactis Mud-Mound in the Pieniny Klippen Belt (Western Carpathians).” Facies, vol. 47, 2002, pp. 113–26. Springer Link, https://doi.org/10.1007/bf02667709.",
24,24,Calner,Mikael,-,57.378453,18.220689,"Klintehamn, Sweden",-13.3926,-61.3366,432.95,Arid,Coastal,438.5-427.4,Silurian,Middle,-,D,Baltic Basin,2001,10.1016/S0037-0738(01)00144-0,"A lowstand epikarstic intertidal flat from the middle Silurian of Gotland, Sweden","Calner, Mikael. “A Lowstand Epikarstic Intertidal Flat from the Middle Silurian of Gotland, Sweden.” Sedimentary Geology, vol. 148, no. 3, May 2002, pp. 389–403. ScienceDirect, https://doi.org/10.1016/S0037-0738(01)00144-0.",
138,138,Su,Chengpeng,"Tan, Xiucheng; Shi, Kailan; Lu, Feifan; Luo, Sicong; Tang, Hao; Zhang, Xinyu",29.688855,106.464806,"Chongqing, China",51.5599,148.4601,187.7,Warm Temperate,Continental,201.3-174.1,Jurassic,Early,-,Da'anzhai member,Sichuan Basin,2017,10.1016/j.petlm.2016.12.006,"Characteristics and significance of the penecontemporaneous karst in lacustrine carbonate, Da'anzhai Member, Lower Jurassic, Beibei area, eastern Sichuan Basin","Su, Chengpeng, et al. “Characteristics and Significance of the Penecontemporaneous Karst in Lacustrine Carbonate, Da’anzhai Member, Lower Jurassic, Beibei Area, Eastern Sichuan Basin.” Petroleum, vol. 3, no. 3, Sept. 2017, pp. 292–300. ScienceDirect, https://doi.org/10.1016/j.petlm.2016.12.006.",
68,68,Juhász,E,"Korpás, L; Balog, A.",47.834374,19.153887,"Naszaly Hill, Hungary",18.7966,27.7268,232.15,Tropical,Coastal,,Triassic,Late,-,Dachstein Limestone,Naszaly Hill,1995,10.1111/j.1365-3091.1995.tb00385.x,"Two hundred million years of karst history, Dachstein Limestone, Hungary","Juhász, E., et al. “Two Hundred Million Years of Karst History, Dachstein Limestone, Hungary.” Sedimentology, vol. 42, no. 3, 1995, pp. 473–89. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.1995.tb00385.x.",
147,147,Wurm,Detlef,-,47.504203,13.4903,"Gosaukamm, Austria",26.4146,20.6183,218.405,Arid,Coastal-Continental,,Triassic,Late,Norian,Dachstein Reef Limestones,Gosaukamm Range,1982,10.1007/BF02536686,"Mikrofazies, Paläontologie und Palökologie der Dachsteinriffkalke (Nor) des Gosaukammes, Österreich","Wurm, Detlef. “Mikrofazies, Paläontologie Und Palökologie Der Dachsteinriffkalke (Nor) Des Gosaukammes, Österreich.” Facies, vol. 6, no. 1, 1982, pp. 203–95. Scopus, Scopus, https://doi.org/10.1007/BF02536686.",
124,122,Semeniuk,V,-,-33.475647,148.795852,"Molong, NSW, Australia",19.0689,123.7615,454,Arid,Coastal,456-452,Ordovician,Late,Sandbian,Davys Plains Limestone,Bowan Park Group,1973,10.1080/00167617308728828,Nearshore to offshore facies and depositional history of the Ordovician Daylesford Limestone New South Wales,"Semeniuk, V. “Nearshore to Offshore Facies and Depositional History of the Ordovician Daylesford Limestone New South Wales.” Journal of the Geological Society of Australia, vol. 20, no. 4, 1973, pp. 449–63. DOI.org (Crossref), https://doi.org/10.1080/00167617308728828.",
44,44,Cozzi,Andrea,-,46.362538,12.558538,"Monte Pramaggiore, Italy",21.9963,26.6937,218.405,Arid,Coastal,,Triassic,Late,Norian,Dolomia Principale,Carnian Prealps,2002,10.1007/bf02667711,"Facies patterns of a tectonically-controlled Upper Triassic platform-slope carbonate depositional system (Carnian Prealps, Northeastern Italy)","Cozzi, A. “Facies Patterns of a Tectonically-Controlled Upper Triassic Platform-Slope Carbonate Depositional System (Carnian Prealps, Northeastern Italy).” Facies, no. 47, 2002, pp. 151–78. Scopus, Scopus, https://doi.org/10.1007/bf02667711.",
59,59,Gale,Luka,"Peybernes, Camille; Celarc, Bogomir; Hocevar, Manca; Selih, Vid Simon; Martini, Rossana",46.0116,14.326788,"Lesno Brdo, Slovenia",13.2156,29.9384,232.15,Tropical,Coastal,237-227.3,Triassic,Late,Carnian,E,-,2018,10.1007/s10347-018-0531-6,"Biotic composition and microfacies distribution of Upper Triassic build‐ups: new insights from the Lower Carnian limestone of Lesno Brdo, central Slovenia","Gale, Luka, et al. “Biotic Composition and Microfacies Distribution of Upper Triassic Build-Ups: New Insights from the Lower Carnian Limestone of Lesno Brdo, Central Slovenia.” Facies, vol. 64, no. 3, May 2018, p. 17. Springer Link, https://doi.org/10.1007/s10347-018-0531-6.",
